function,defaults
assess_defensibility,"<required>|NULL|NULL|NULL|NULL|NULL"
audit_som,"<required>"
audit_som_representation,"<required>|c(""analysis"", ""assessment"")|NULL|NULL|10000L|1000000L|FALSE"
audit_transfer,"<required>"
compare_cross_models,"<required>|<required>|c(""analysis"", ""assessment"", ""all"")"
consensus_som,"<required>|<required>|""average""|c(""auto"", ""coassignment"", ""aligned_vote"")|5000L"
evaluate_external_labels,"<required>|NULL|NULL|NULL|c(""auto"", ""id"", ""position"")"
expand_som_spec,"<required>"
fit_cross_models,"<required>|c(""kmeans"", ""ward"")|ensemble$spec$k|1L|50L|100L|NULL|FALSE|FALSE|1L"
fit_som_ensemble,"<required>|<required>|NULL|som_preprocess()|TRUE|FALSE|FALSE"
launch_som_app,""
map_som_ensemble,"<required>|<required>|FALSE"
open_data_registry,"NULL|NULL"
pareto_candidates,"<required>|c(quantization_error = ""min"", topographic_error = ""min"", empty_unit_rate = ""min"")"
partition_som,"<required>|ensemble$spec$k|""ward.D2""|c(""analysis"", ""all"")|1000000L"
plot_som_plane,"<required>|c(""component"", ""occupancy"", ""neighbour_distance"")|NULL|NULL|NULL"
run_som_sensitivity,"<required>|c(""kmeans"", ""ward"")|list()|""auto""|5000L|1000000L|TRUE|TRUE|FALSE"
run_som_workflow,"<required>|<required>|NULL|som_preprocess()|spec$k|c(""kmeans"", ""ward"")|list()|""auto""|5000L|FALSE|FALSE|FALSE|1000000L"
simulate_som_scenario,"c(""gradient"", ""clusters"", ""overlap"", ""grouped_pseudoreplication"", ""multilayer_conflict"")|180L|6L|1L|1|c(1, 1, 1)|NULL|0.7|3L|0|0|c(""none"", ""mcar"", ""domain"")|NULL"
som_data,"NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL"
som_gate,"NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL"
som_preprocess,"""identity""|TRUE|TRUE|NULL"
som_resamples,"<required>|c(""full"", ""subsample"", ""group_subsample"", ""block_subsample"", ""leave_domain_out"", ""custom"")|50L|0.8|1L|""group""|""domain""|NULL"
som_spec,"data.frame(xdim = 7L, ydim = 5L)|1:10|500L|c(0.05, 0.01)|NULL|c(""hexagonal"", ""rectangular"")|c(""gaussian"", ""bubble"")|FALSE|c(""batch"", ""online"", ""pbatch"")|2:8|0|NULL|TRUE|1L"
upgrade_som_object,"<required>"
