class,lifecycle,contract_version,required_components,required_attributes,notes
som_data,stable,1.2.0,layers|metadata|id_source|external_label_source,som_contract_version=1.2.0,Training layers metadata and external-label identity provenance remain explicit.
som_preprocess,stable,1.2.0,transform|center|scale|zero_replacement,som_contract_version=1.2.0,Declarative preprocessing specification.
som_resamples,stable,1.2.0,method|splits|seed|n|sample_ids,som_contract_version=1.2.0,Resampling indices are bound to ordered sample identities.
som_spec,stable,1.2.0,grids|seeds|rlen|alpha|radius|topology|neighbourhood|toroidal|mode|k|max_na_fraction|layer_weights|normalize_layers|cores,som_contract_version=1.2.0,Prespecified ensemble design.
som_ensemble,stable,1.2.0,data|spec|resamples|preprocess|fits|failures|warnings|expected_models|parallel,som_contract_version=1.2.0,Full SOM fit audit trail.
som_audit,stable,1.2.0,fit_metrics|grid_summary|success_rate|failures|ensemble,som_contract_version=1.2.0,Within-fit representation diagnostics remain separate from partitions.
som_partitions,stable,1.2.0,records|pairwise|stability|method|scope|max_pairwise_comparisons|ensemble,som_contract_version=1.2.0,Candidate partitions retain observed classes and computation budgets.
som_consensus,stable,1.2.0,k|method|scope|coassignment|tree|consensus_labels|aligned_labels|membership_support|assignment_entropy|assignment_count|assignment_coverage|consensus_label_coverage|observed_consensus_clusters|n_consensus_clusters|complete_consensus_k|replicated_assignment_coverage|alignment_diagnostics|clusterwise_jaccard|cluster_summary|sample_ids|metadata|records|ensemble,som_contract_version=1.2.0,Consensus evidence carries an explicit ordered sample identity vector.
som_cross_models,stable,1.2.0,records|failures|warnings|methods|k|ensemble,som_contract_version=1.2.0,Controlled references retain seeds prediction rules and failures.
som_cross_comparison,stable,1.2.0,comparisons|summary|failures|warnings|methods|reference_status|partition_completeness|scope|ensemble,som_contract_version=1.2.0,Cross-model agreement remains separate from ranking.
som_workflow,stable,1.2.0,ensemble|audit|partitions|consensus|consensus_failures|cross_models|cross_comparison|requested_k|provenance,som_contract_version=1.2.0,Top-level workflow preserves separate evidence streams and provenance.
som_gate,stable,1.2.0,max_topographic_error|max_empty_unit_rate|min_median_ari|min_median_ami|min_pairwise_coverage|min_cluster_jaccard|min_consensus_coverage|min_replicated_coverage|min_membership_support|max_assignment_entropy|min_cross_model_ari|min_cross_model_methods|min_success_rate,som_contract_version=1.2.0,Analyst-specified gates have no universal defaults.
som_defensibility,stable,1.2.0,status|k|evidence|checks,som_contract_version=1.2.0,Conditional decision and auditable reasons.
som_external_assessment,stable,1.2.0,n_total|n_used|n_omitted|source|excluded_values|match_method|matching|omission_counts|sample_accounting|ari|ami|contingency|composition,som_contract_version=1.2.0,External-label agreement records identity matching and mutually exclusive omission states.
som_transfer_audit,stable,1.2.0,metrics|failures|ensemble,som_contract_version=1.2.0,Held-out-domain diagnostics include mapping coverage.
som_newdata_mapping,stable,1.2.0,records|summary|failures|warnings|metadata|n_expected_fits,som_contract_version=1.2.0,Fit-specific mapping retains failures warnings and source metadata.
som_representation_audit,experimental,1.2.0,fit_metrics|pairwise|neighbourhood_records|summary|failures|warnings|comparison_budget|provenance|ensemble,som_contract_version=1.2.0,Exact continuous-representation reproducibility evidence has explicit budgets and no selection score.
som_sensitivity,experimental,1.2.0,representation|partition|cross_model|scenario_comparison|sample_comparison|sample_summary|failures|model_failures|model_warnings|workflows,som_contract_version=1.2.0,Scenario output retains model-stage diagnostics when workflows are omitted.
